大学名,学部,学科
弘前,農学生命,食料資源－前
弘前,農学生命,国際園芸農－前
弘前,農学生命,地域環境工－前
弘前,農学生命,生物－後
弘前,農学生命,分子生命科学－後
弘前,農学生命,食料資源－後
弘前,農学生命,国際園芸農－後
弘前,農学生命,地域環境工－後
弘前,医,医（一般枠）－前
弘前,医,医（青森枠）－前
弘前,医,保－看護学－前
弘前,医,保－放射線－前
弘前,医,保－検査技術－前
弘前,医,保－理学療法－前
弘前,医,保－作業療法－前
弘前,医,心理支援科学－前
岩手,人文社会,人間文化－前
岩手,人文社会,地域政策－前
岩手,人文社会,人間文化－後
岩手,人文社会,地域政策－後
岩手,教育,小学校教育－前
岩手,教育,中－国語－前
岩手,教育,中－社会－前
岩手,教育,中－英語－前
岩手,教育,中－音楽－前
岩手,教育,中－美術－前
岩手,教育,中－保健体育－前
岩手,教育,理－数学－前
岩手,教育,理－理科－前
岩手,教育,特別支援教育－前
岩手,教育,小学校教育－後
岩手,教育,特別支援教育－後
岩手,理工,化学－前
岩手,理工,数理・物理－前
岩手,理工,材料科学－前
岩手,理工,情報系－前
岩手,理工,電気電子情報－前
岩手,理工,機械知能航空－前
岩手,理工,社会基盤環境－前
岩手,理工,データサイエ－前
岩手,理工,化学－後
岩手,理工,数理・物理－後
岩手,理工,材料科学－後
岩手,理工,情報系－後
岩手,理工,電気電子情報－後
岩手,理工,機械知能航空－後
岩手,理工,社会基盤環境－後
岩手,農,食－農学－前
岩手,農,食－食品健康－前
岩手,農,生－分子生物－前
岩手,農,生－分子生命－前
岩手,農,地－革新農業－前
岩手,農,地－森林科学－前
岩手,農,動－動物科学－前
岩手,農,動－水産シス－前
岩手,農,食－農学－後
岩手,農,食－食品健康－後
岩手,農,生－分子生物－後
岩手,農,生－分子生命－後
岩手,農,地－革新農業－後
岩手,農,地－森林科学－後
岩手,農,動－動物科学－後
岩手,農,動－水産シス－後
岩手,獣医,共同獣医－前
岩手県立,社会福祉,前期
岩手県立,社会福祉,後期
岩手県立,ソフト情報,ソフトウェア－前
岩手県立,ソフト情報,ソフトウェア－中
岩手県立,看護,看護－前
岩手県立,看護,看護－後
岩手県立,総合政策,総合政策－前
岩手県立,総合政策,総合政策－後
東北,文,人文社会－前
東北,教育,教育科学－前
東北,法,法－前
東北,経済,文系－前
東北,経済,理系－前
東北,経済,文系－後
東北,経済,理系－後
東北,理,数学系－前
東北,理,物理系－前
東北,理,化学系－前
東北,理,地球科学系－前
東北,理,生物系－前
東北,理,数学系－後
東北,理,物理系－後
東北,理,化学系－後
東北,理,地球科学系－後
東北,理,生物系－後
東北,工,機械知能航空－前
東北,工,電気情報物理－前
東北,工,化学バイオ工－前
東北,工,材料科学総合－前
東北,工,建築社会環境－前
東北,農,前期
東北,医,医－前
東北,医,保－看護学－前
東北,医,保－放射線－前
東北,医,保－検査技術－前
東北,歯,歯－前
東北,薬,前期
宮城,事業構想,前期
宮城,事業構想,後期
宮城,看護,看護－前
宮城,看護,看護－後
宮城,食産業,前期
宮城,食産業,後期
宮城教育,教育,初等教育文系－前
宮城教育,教育,初等教育理系－前
宮城教育,教育,中－国語－前
宮城教育,教育,中－社会－前
宮城教育,教育,中－英語－前
宮城教育,教育,中－数学－前
宮城教育,教育,中－理科－前
宮城教育,教育,特別支援文系－前
宮城教育,教育,特別支援理系－前
宮城教育,教育,初等教育－後
秋田,教育文化,初中一般教科－前
秋田,教育文化,初中一般音楽－前
秋田,教育文化,初中一般美術－前
秋田,教育文化,初中一般体育－前
秋田,教育文化,初中（英語型）前
秋田,教育文化,特別支援教育－前
秋田,教育文化,こども発達－前
秋田,教育文化,地域文化－前
秋田,教育文化,初中一般小論－後
秋田,教育文化,初中一般音楽－後
秋田,教育文化,初中一般美術－後
秋田,教育文化,初中一般体育－後
秋田,教育文化,初中（英語型）後
秋田,教育文化,特別支援教育－後
秋田,教育文化,こども発達－後
秋田,教育文化,地域文化－後
秋田,情報データ,情報ａ文系－前
秋田,情報データ,情報ａ理系－前
秋田,情報データ,情報ｂ理系－前
秋田,情報データ,情報データ－後
秋田,国際資源,資源政策－前
秋田,国際資源,資源地球科学－前
秋田,国際資源,資源開発環境－前
秋田,国際資源,資源政策－後
秋田,国際資源,資源地球科学－後
秋田,国際資源,資源開発環境－後
秋田,総合環境,応用化学生物ａ前
秋田,総合環境,応用化学生物ｂ前
秋田,総合環境,環境数物科学ａ前
秋田,総合環境,環境数物科学ｂ前
秋田,総合環境,社会システムａ前
秋田,総合環境,社会システムｂ前
秋田,総合環境,応用化学生物－後
秋田,総合環境,環境数物科学－後
秋田,総合環境,社会システム－後
秋田,医,医－前
秋田,医,保－看護学－前
秋田,医,保－理学療法－前
秋田,医,保－作業療法－前
秋田,医,医（一般枠）－後
秋田,医,医（地域枠）－後
秋田,医,保－看護学－後
秋田,医,保－理学療法－後
秋田,医,保－作業療法－後
秋田,教育文化,初中（理数型）前
秋田,教育文化,初中（理数型）後
秋田県立,システム,機械工－前
秋田県立,システム,知能メカトロ－前
秋田県立,システム,情報工－前
秋田県立,システム,建築環境シス－前
秋田県立,システム,経営システム－前
秋田県立,システム,機械工－後
秋田県立,システム,知能メカトロ－後
秋田県立,システム,情報工－後
秋田県立,システム,建築環境シス－後
秋田県立,システム,経営システム－後
秋田県立,生物資源,応用生物科学－前
秋田県立,生物資源,生物生産科学－前
秋田県立,生物資源,生物環境科学－前
秋田県立,生物資源,アグリビジネ－前
秋田県立,生物資源,応用生物科学－後
秋田県立,生物資源,生物生産科学－後
